Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Saleman, Thomas L.",100.0,3,153,153,2.1132,3,0,51.0,3,2,1,0,0,FVO-1319-2022,0.0,
"Hailu, Atakelty",100.0,5,154,152,1.3267400000000003,4,1,30.4,4,3,0,0,0,AAB-7606-2020,0.0,0000-0002-1024-7520
"Saunders, Martin",100.0,7,155,151,2.028714285714286,5,2,21.571428571428573,5,5,0,0,1,B-3082-2011,0.0,0000-0001-6873-7816
"El-Sallam, Amar",100.0,3,155,151,1.874766666666667,2,0,50.333333333333336,3,0,0,0,0,FZM-2842-2022,0.0,0000-0003-4426-7295
"Asif, Abdul Hannan",100.0,8,157,149,3.591425,7,0,18.625,6,8,0,1,0,FWY-8124-2022,12.5,0000-0003-2534-4339
"UMANA-MEMBRENO, Gilberto A",93.33,15,157,149,0.39222666666666667,7,0,9.933333333333334,7,5,1,0,0,E-9521-2012,0.0,0000-0002-2169-0763
"Symonds, Graham",100.0,2,159,148,2.72045,2,1,74.0,2,1,0,0,0,E-2263-2011,0.0,0000-0002-7359-2057
"Mccallum, James",100.0,8,160,144,0.9043125000000001,8,2,18.0,6,6,3,0,0,DXX-2470-2022,0.0,0000-0001-5862-9803
"Norris, Bruce W. E.",90.0,10,160,144,0.80479,7,5,14.4,4,4,2,0,0,DJI-2696-2022,0.0,0000-0001-7743-9634
"Chen, Yi",100.0,6,162,142,1.6345,6,0,23.666666666666668,5,4,0,0,0,ESR-5138-2022,0.0,
"Eftekhari, Mehdi",80.0,5,163,141,1.12348,1,2,28.2,4,0,0,0,0,Q-2501-2015,0.0,0000-0002-4902-9512
"Basarir, Hakan",100.0,5,163,141,1.21374,3,0,28.2,5,2,0,0,0,C-2237-2014,0.0,0000-0003-4556-4953
"Suvorova, Alexandra",100.0,1,165,139,5.0464,1,1,139.0,1,0,0,0,1,B-9335-2011,0.0,0000-0001-8970-6058
"Reynolds, Mark",100.0,8,166,138,1.608425,6,3,17.25,6,2,0,0,1,IVP-9996-2023,0.0,0000-0002-5415-0544
"Li, Ming",100.0,9,166,138,1.0656444444444446,6,1,15.333333333333334,6,4,0,0,0,FZQ-5313-2022,0.0,0000-0001-9861-7858
"Harries, David",100.0,2,168,136,0.8922000000000001,1,1,68.0,2,0,0,0,0,AEQ-0198-2022,0.0,
"Guo, Y. D.",100.0,9,169,133,2.2243666666666666,9,1,14.777777777777779,6,1,0,0,0,CTK-5484-2022,0.0,
"Honari, Abdolvahab",100.0,3,169,133,1.6979,2,0,44.333333333333336,3,2,0,0,0,FAQ-8535-2022,0.0,
"Akhfash, Masoumeh",100.0,3,171,131,1.9100000000000001,2,0,43.666666666666664,3,2,1,0,0,EKN-5309-2022,0.0,
"Silva, K. K. M. B. Dilusha",100.0,15,172,130,0.38913333333333333,8,4,8.666666666666666,7,2,0,0,3,FZT-6279-2022,0.0,
"Gopalan, Sachit A.",100.0,2,173,128,0.8346,2,1,64.0,2,0,0,0,0,ILY-2993-2023,0.0,
"Santini, Talitha C",100.0,4,173,128,0.7422,4,2,32.0,3,2,0,0,0,C-2958-2009,0.0,0000-0002-6396-3731
