Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"K. Bandara, Arosha",100.0,1,172,274,3.0972,1,0,274.0,1,0,0,1,0,IAU-3981-2023,100.0,
"Cartwright, Ian",100.0,10,173,272,1.05965,10,4,27.2,8,6,0,0,0,DVT-3744-2022,0.0,0000-0001-5300-4716
"Urich, Christian",75.0,4,174,268,2.790325,2,1,67.0,3,3,0,0,0,EEU-7817-2022,0.0,
"Mayeli, Peyman",94.44,18,175,261,0.6257944444444444,6,3,14.5,9,3,0,0,0,JCE-2715-2023,0.0,
"Fuhrer, Michael S",100.0,2,176,258,6.92855,2,1,129.0,2,1,0,1,1,E-7634-2010,50.0,0000-0001-6183-2773
"Zhang, Jing-Xuan",100.0,5,177,257,2.78118,4,1,51.4,4,3,1,0,1,GSM-8718-2022,0.0,0000-0001-6656-6240
"Lenne, Michael G.",100.0,7,178,254,1.3947714285714288,5,5,36.285714285714285,7,2,0,0,0,JII-5201-2023,0.0,
"Lelekakis, Nick",100.0,8,179,247,1.1578875000000002,0,3,30.875,8,4,0,0,7,DCD-4527-2022,0.0,
"Tanner, Joanne",90.0,10,180,245,1.09787,9,1,24.5,6,7,0,0,0,GCF-1171-2022,0.0,0000-0002-3318-1237
"Pauwels, Valentijn R. N.",83.33,12,181,242,0.9050083333333334,10,3,20.166666666666668,7,7,0,0,0,DVW-5738-2022,0.0,0000-0002-1290-9313
"Mahapatra, Dwarikanath",100.0,8,182,240,1.453375,5,0,30.0,7,5,0,0,2,FLK-0123-2022,0.0,
"Zhao, J.",100.0,6,183,238,2.0456833333333333,5,2,39.666666666666664,6,4,0,0,0,ISR-7031-2023,0.0,
"Kulic, Dana",88.24,17,184,236,0.8650352941176471,8,2,13.882352941176471,7,11,2,0,0,FGS-2793-2022,0.0,
"Khorasany, Mohsen",100.0,4,184,236,2.802775,3,1,59.0,4,2,0,0,0,K-8799-2019,0.0,0000-0002-1444-5970
"Bakheet, Belal",100.0,5,186,233,1.8217400000000001,5,1,46.6,5,2,1,0,0,DUR-1652-2022,0.0,0000-0002-1547-5637
