Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Yan, Bing",100.0,5,143,263,3.63942,5,0,52.6,5,3,0,0,0,JLT-8031-2023,0.0,0000-0002-7608-0209
"mazinani, arash",100.0,3,143,263,5.1643,3,0,87.66666666666667,3,3,0,0,0,AAF-7907-2021,0.0,
"Muhlack, Richard A.",100.0,4,145,256,1.518575,2,0,64.0,4,0,0,0,0,DXM-7870-2022,0.0,0000-0001-8865-5615
"Leonard, Michael",85.71,7,145,256,1.5842714285714286,6,3,36.57142857142857,5,1,0,0,0,AAP-1853-2021,0.0,0000-0002-9519-3188
"Wheeler, Sarah Ann",100.0,6,145,256,1.8300833333333333,6,1,42.666666666666664,5,2,0,0,0,H-4000-2017,0.0,0000-0002-6073-3172
"Trinkle, Matthew",100.0,5,148,254,1.98338,5,1,50.8,5,2,0,0,4,GHZ-6276-2022,0.0,
"Goodsite, Michael Evan",100.0,6,149,249,1.5846833333333334,6,0,41.5,5,6,0,0,0,X-9374-2019,0.0,0000-0002-4565-6607
"Wigley, Tom M.L.",100.0,2,150,248,1.46885,2,0,124.0,2,2,0,1,0,B-4705-2008,50.0,
"Mao, Jianfeng",100.0,8,151,247,0.9078625,1,3,30.875,6,1,0,0,0,AAS-4587-2020,0.0,0000-0002-4787-4261
"Heard, B. P.",100.0,1,152,246,2.7807,1,0,246.0,1,1,0,1,0,ILC-8737-2023,100.0,
"Boes, Andreas",100.0,11,153,242,1.4061000000000001,9,0,22.0,8,10,0,0,0,N-4462-2019,0.0,0000-0001-8443-3396
"Lian, Zhi",100.0,7,154,240,2.893957142857143,5,1,34.285714285714285,6,2,0,0,0,AEM-8818-2022,0.0,0000-0002-8637-1704
"Loch, Adam",100.0,4,154,240,2.3558,4,2,60.0,4,2,0,0,0,F-4246-2013,0.0,0000-0002-1436-8768
"Soong, Wen",92.31,13,156,239,0.7760153846153847,9,4,18.384615384615383,8,8,0,0,0,AAZ-2903-2020,0.0,
"McLaughlin, Michael J",100.0,8,157,236,1.466925,7,6,29.5,6,1,1,0,0,N-5888-2017,0.0,0000-0001-6796-4144
"Pisaniello, Dino",87.5,8,158,233,0.8610375,6,3,29.125,7,3,0,0,0,DWH-4177-2022,0.0,0000-0002-4156-0608
"Bennetts, Luke G",100.0,10,158,233,1.0674100000000002,6,3,23.3,7,7,0,0,0,F-1623-2010,0.0,0000-0001-9386-7882
"Koc, Carlos Bartesaghi",100.0,6,160,231,1.4901833333333334,4,3,38.5,5,3,0,0,0,L-5528-2019,0.0,0000-0002-2877-621X
"Zander, Anthony",100.0,9,160,231,1.0721444444444446,4,1,25.666666666666668,7,0,0,0,0,IQG-2020-2023,0.0,
"Hosseini, Tara",100.0,11,162,230,1.1601181818181818,8,5,20.90909090909091,8,0,0,0,0,GOG-9880-2022,0.0,
"Akmeliawati, Rini",94.44,18,163,229,0.7666166666666667,3,1,12.722222222222221,9,16,0,0,0,T-4776-2018,0.0,0000-0003-0660-2312
"Huang, Linsen",100.0,6,164,227,2.574866666666667,6,0,37.833333333333336,6,2,0,1,0,AAA-2912-2022,16.67,0000-0001-8414-6450
"Jaksa, Mark B",100.0,18,165,223,0.8156777777777777,2,6,12.38888888888889,9,7,0,0,0,A-9568-2011,0.0,0000-0003-3756-2915
"Dayoub, Feras",88.89,9,166,220,1.4494333333333334,2,3,24.444444444444443,6,2,0,0,0,DWB-3773-2022,0.0,0000-0002-4234-7374
"Porteous, Ric",100.0,5,166,220,1.77604,5,2,44.0,5,2,0,0,0,FTD-2795-2022,0.0,
"Guo, Meijun",100.0,3,168,218,2.0755666666666666,2,1,72.66666666666667,2,1,0,1,0,DVR-7052-2022,33.33,0000-0002-8387-8147
"Yan, Bing",100.0,9,168,218,1.3943888888888891,4,1,24.22222222222222,7,7,2,0,0,KGS-7459-2024,0.0,
"Tran, Nam",100.0,14,170,212,1.3005642857142858,12,0,15.142857142857142,8,14,1,0,0,IUN-9324-2023,0.0,
"Emes, Matthew",91.67,12,171,211,0.8271916666666668,5,2,17.583333333333332,9,2,0,0,0,O-9353-2019,0.0,0000-0003-4147-4387
"Hansen, Alana",100.0,5,172,208,1.34532,4,2,41.6,5,2,0,0,0,DXD-9089-2022,0.0,0000-0003-0195-3770
"Santosh, M",90.0,10,173,207,1.4473,7,2,20.7,8,8,0,0,0,B-2563-2012,0.0,0000-0002-9131-0420
"Ghomashchi, Reza",100.0,9,174,199,1.0470444444444444,3,1,22.11111111111111,7,6,0,0,0,EXQ-4449-2022,0.0,
"Xu, Xiaoyong",100.0,5,175,197,1.33132,3,2,39.4,4,1,0,0,0,GBQ-7165-2022,0.0,0000-0002-0149-815X
"Yang, Yang",100.0,4,176,195,2.287825,3,0,48.75,4,1,0,0,0,GKR-6883-2022,0.0,
"Dandy, Graeme",100.0,4,177,194,2.2108250000000003,4,3,48.5,4,0,1,0,0,ESC-6241-2022,0.0,
"Robertson, William",100.0,9,178,191,1.2365222222222223,8,2,21.22222222222222,7,0,0,0,0,Y-7798-2019,0.0,0000-0001-7351-8378
"Abbasnejad, Ehsan",100.0,3,179,190,4.970300000000001,2,0,63.333333333333336,3,2,0,1,0,CBE-7716-2022,33.33,
"Bennetts, Luke",100.0,6,180,189,1.40425,5,1,31.5,5,5,0,0,0,N-1448-2019,0.0,0000-0001-9386-7882
"Vowles, D.",100.0,1,180,189,7.7233,1,0,189.0,1,1,1,0,0,HLC-6924-2023,0.0,
"Tran, Anh-Tuan",100.0,4,180,189,2.373475,4,1,47.25,4,3,0,0,0,KEE-5138-2024,0.0,0000-0002-9318-1933
"Shobeiri, Vahid",100.0,9,180,189,1.3394555555555556,4,1,21.0,7,1,0,0,0,GSC-9408-2022,0.0,
"Pourmehran, O.",100.0,5,180,189,1.7874200000000002,3,1,37.8,5,3,0,0,0,KHB-5296-2024,0.0,0000-0002-9564-2772
"ATKINSON, PETER",100.0,6,185,186,2.321883333333333,5,1,31.0,5,5,0,1,0,JMC-0348-2023,16.67,0000-0001-8740-6561
"Navarro, Divina",100.0,6,186,183,2.1979833333333336,5,5,30.5,5,1,1,0,0,F-5733-2013,0.0,0000-0002-8271-3578
"Baumert, Mathias",92.86,14,187,182,0.8372285714285715,9,2,13.0,7,9,0,0,2,A-8324-2008,0.0,0000-0003-2984-2167
"Daily, Bassam B.",100.0,2,188,180,3.6288,2,0,90.0,2,2,0,0,0,EUC-8743-2022,0.0,
"Sedaghatizadeh, N.",90.0,10,188,180,1.11193,9,0,18.0,7,6,0,0,0,FWR-7858-2022,0.0,
"Bennett, Terry",90.91,11,188,180,0.7573727272727274,7,5,16.363636363636363,7,2,0,0,0,C-3339-2012,0.0,0000-0002-3979-769X
"Reid, Ian",100.0,11,188,180,1.8313909090909093,10,2,16.363636363636363,7,9,1,0,0,HWK-3591-2023,0.0,
"Zuo, Alec",100.0,4,192,178,1.926175,4,0,44.5,4,1,0,0,0,AAU-3394-2020,0.0,0000-0003-0425-4633
"Birzer, Cristian H.",100.0,17,193,177,0.5265941176470588,7,3,10.411764705882353,10,1,0,0,0,KHA-0507-2024,0.0,0000-0002-7051-9137
"Ranjbar, Hossein",88.89,18,194,176,0.8660888888888889,9,3,9.777777777777779,9,10,0,0,0,DXH-4653-2022,0.0,0000-0002-9028-6449
"Esfandyari, Hamid",100.0,9,195,175,3.630477777777778,4,5,19.444444444444443,6,4,0,1,0,EWN-8228-2022,11.11,
"Peters, Alan",100.0,2,196,173,1.3343,2,2,86.5,2,0,0,0,0,FQV-0725-2022,0.0,
"Lu, Zhi",100.0,1,197,169,6.4938,1,1,169.0,1,0,0,0,0,B-6728-2016,0.0,0000-0002-7068-6728
"Paisitkriangkrai, Sakrapee",100.0,4,198,168,1.66865,4,2,42.0,3,0,0,0,0,DJR-4688-2022,0.0,
"Humphrey, Greer B",100.0,1,199,167,6.7334000000000005,1,1,167.0,1,0,0,0,0,J-6905-2012,0.0,
"Xu, Juechun",100.0,4,199,167,1.6533,3,0,41.75,3,4,0,0,0,EGP-5830-2022,0.0,
"Hossain, Mohammad Razib",100.0,6,201,164,10.424233333333335,6,0,27.333333333333332,5,6,0,3,0,ABE-9493-2021,50.0,0000-0001-8448-1291
"Jeffery, David W",100.0,1,202,162,1.9384000000000001,1,0,162.0,1,0,0,0,0,Q-3120-2016,0.0,0000-0002-7054-0374
"Potumarthi, Ravichandra",100.0,1,202,162,1.9384000000000001,1,0,162.0,1,0,0,0,0,DNN-8451-2022,0.0,
"Gunawan, Indra",100.0,8,204,157,0.7901375,3,7,19.625,7,0,0,0,0,JFM-9518-2023,0.0,0000-0001-9334-7588
"Bedrikovetsky, P.",94.74,19,205,156,0.6163315789473686,14,3,8.210526315789474,8,9,3,0,0,GCN-7332-2022,0.0,0000-0003-2909-6731
"Salmachi, Alireza",100.0,7,206,153,1.050557142857143,4,1,21.857142857142858,5,4,0,0,0,N-9707-2019,0.0,0000-0002-8192-5501
"Rowhani, Amir",100.0,6,207,152,0.5219166666666667,3,0,25.333333333333332,4,2,0,0,0,FZA-9990-2022,0.0,
"Zhao, Wanxia",90.0,10,208,151,1.56927,7,4,15.1,5,2,0,0,0,DSN-2620-2022,0.0,0000-0001-5916-9669
"Grainger, Steven",100.0,11,209,150,0.5978909090909091,7,4,13.636363636363637,8,1,0,0,4,CRW-9632-2022,0.0,
"Parra, Álvaro",100.0,2,209,150,3.221,2,1,75.0,2,0,0,0,0,V-8519-2019,0.0,0000-0002-2981-0491
"Varghese, Blesson Mathew",100.0,3,211,149,1.376666666666667,3,1,49.666666666666664,3,1,0,0,0,DXR-1540-2022,0.0,0000-0003-2974-7282
"Bi, Peng",60.0,5,211,149,0.8260000000000002,5,1,29.8,3,2,0,0,0,H-9782-2012,0.0,0000-0002-3238-3427
"wang, shaobin",100.0,11,213,148,2.2622454545454547,10,3,13.454545454545455,7,7,1,0,0,D-7168-2011,0.0,
"Wang, Mingzhen",66.67,15,214,147,0.8964133333333334,6,6,9.8,4,1,0,1,0,HRB-4596-2023,6.67,0000-0002-4852-9443
"Reddy, Reddygari Meenakshi",100.0,1,215,146,6.4004,1,0,146.0,1,0,0,0,0,HZP-1033-2023,0.0,
"B. White, Langford",83.33,12,215,146,0.4884583333333334,11,1,12.166666666666666,7,5,0,0,0,CGM-0098-2022,0.0,
"Stokes, Yvonne",85.71,14,217,144,0.4379714285714286,13,2,10.285714285714286,8,8,0,0,0,IST-5195-2023,0.0,0000-0003-0027-6077
"Dowd, Peter A",100.0,2,218,143,2.7441,2,0,71.5,2,1,0,0,0,E-2427-2013,0.0,0000-0002-6743-5119
"Iqbal, Nasir",100.0,2,218,143,5.6112,2,0,71.5,2,2,0,0,0,CCK-0548-2022,0.0,0000-0003-1133-8229
"Liu, Yu",100.0,6,220,141,1.598,3,0,23.5,4,6,0,0,0,GDD-6601-2022,0.0,0000-0002-0139-0536
"Sim, Ting Rui",100.0,1,221,139,5.3411,0,0,139.0,1,0,0,0,3,DVA-2645-2022,0.0,
"Al Bitar, Mohammad Bassam",100.0,2,222,138,2.6855,0,0,69.0,2,0,0,0,0,CBU-7705-2022,0.0,
"Dragos, Jonathon",100.0,6,223,134,0.8226166666666668,4,0,22.333333333333332,6,2,0,0,0,EVC-9190-2022,0.0,
"Deng, Jiajun",100.0,7,223,134,2.9954428571428573,6,2,19.142857142857142,6,2,2,0,0,KIK-3592-2024,0.0,
